AURIX TC26x B-Step, 2.5MB FLASH, 2 cores, HSM: no, EMEM: yes, CPU speed: 200.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU0    1.6E    8       0       16      72      7
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
3,0,0,af000000,DFlash,VecSqrt,4096,30,348259.00,838.21,58010.67,267.44,13441.60, 57.20,151619.80,385.30,107598.50, 96.10
0,0,0,af000000,DFlash,VecDivide,256,30,3745.00,  0.00,926.00,  0.00,  1.00,  0.00,130.00,  0.00,  0.00,  0.00
0,0,0,af000000,DFlash,VecDivide,512,30,7386.47,309.47,1840.57, 99.98,  3.83, 15.26,258.83,  4.49,  0.00,  0.00
0,0,0,af000000,DFlash,VecDivide,1024,30,14554.00,306.95,3632.63,100.34,  3.83, 15.26,514.83,  4.49,  0.00,  0.00
0,0,0,af000000,DFlash,VecDivide,2048,30,28947.93,430.04,7235.13,138.94,  6.67, 21.20,1027.67,  6.24,  0.00,  0.00
0,0,0,af000000,DFlash,VecDivide,4096,30,57849.41,688.80,14477.47,222.93, 18.00, 34.00,2055.00, 10.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecDivide,256,30,3745.00,  0.00,926.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecDivide,512,30,7386.47,309.47,1840.57, 99.98,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecDivide,1024,30,14497.00,  0.00,3614.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecDivide,2048,30,29005.47,517.40,7253.70,167.10,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
