AURIX TC26x B-Step, 2.5MB FLASH, 2 cores, HSM: no, EMEM: yes, CPU speed: 200.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU1	1.6P	16	8	32	120	6
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
0,0,0,af000000,DFlash,VecRead,1024,30,62004.40,786.83,6288.47,222.93, 29.87, 47.73,3096.80, 33.60,  0.00,  0.00
0,0,0,af000000,DFlash,VecRead,2048,30,123490.70,791.23,12444.33,223.57, 33.17, 48.41,6171.60, 34.14,  0.00,  0.00
0,0,0,af000000,DFlash,VecRead,4096,30,246330.30,776.49,24721.10,219.71, 30.13, 47.03,12313.53, 33.29,  0.00,  0.00
1,0,0,af000000,DFlash,VecRead,256,30,15597.07,355.78,1587.57, 99.98,  0.00,  0.00,  0.00,  0.00,262.53, 13.64
1,0,0,af000000,DFlash,VecRead,512,30,31087.13,588.40,3160.70,167.10,  0.00,  0.00,  0.00,  0.00,523.57, 22.70
1,0,0,af000000,DFlash,VecRead,1024,30,62003.07,784.13,6288.40,222.80,  0.00,  0.00,  0.00,  0.00,1042.97, 29.94
1,0,0,af000000,DFlash,VecRead,2048,30,123580.30,857.99,12470.23,243.42,  0.00,  0.00,  0.00,  0.00,2072.00, 32.47
1,0,0,af000000,DFlash,VecRead,4096,30,246328.30,772.56,24721.04,219.58,  0.00,  0.00,  0.00,  0.00,4115.10, 29.43
2,0,0,af000000,DFlash,VecRead,256,30,15596.40,352.19,1587.57, 99.98,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,512,30,31089.87,596.60,3160.77,167.30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,1024,30,61939.27,734.04,6269.83,207.58,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,2048,30,123577.00,853.37,12468.90,241.49,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,4096,30,246328.60,773.65,24720.43,218.50,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecRead,256,30,15597.07,355.78,1587.57, 99.98,267.90, 21.00,182.70,256.87,13333.60, 57.08
3,0,0,af000000,DFlash,VecRead,512,30,31087.13,588.40,3160.70,167.10,531.70, 35.10,276.50,424.50,26666.90, 95.70
3,0,0,af000000,DFlash,VecRead,1024,30,62004.40,786.83,6288.47,222.93,1055.40, 46.80,419.13,568.29,53322.80,127.60
3,0,0,af000000,DFlash,VecRead,2048,30,123552.10,839.36,12462.23,237.24,2086.33, 50.50,491.40,601.92,106590.80,139.12
3,0,0,af000000,DFlash,VecRead,4096,30,246364.80,796.78,24731.00,224.88,4130.43, 48.17,442.17,570.14,213076.00,132.53
0,0,0,af000000,DFlash,VecWrite,256,30,2178.00,  0.00,1822.00,  0.00,  6.00,  0.00,521.00,  0.00,  0.00,  0.00
